Scene	Day	Order Priority	Day/Night	Name	Profile Image	Dialogue	Normal UI	Alignment	Font Style	Options	Option Number	Talk Again
Introduction	1	1	Day	Main Duck	2	"After those long, treacherous 4 years of sleepless nights, countless projects, and winging all those exams at Purduck University, I've finally made it. My dream job: A mechanical engineer at the one and only Nestla."	TRUE	Left	Italics	FALSE	0	FALSE
Introduction	1	1	Day	Main Duck	2	The lobby looks exactly like the pictures too! I'm supposed to meet Elon Duck here to start my first day... but where is he?	TRUE	Left	Italics	FALSE	0	FALSE
Welcome to Nestla	1	2	Day	Eggwin	3	Hello! Sorry to keep you waiting. Are you-	TRUE	Right	Normal	FALSE	0	FALSE
Welcome to Nestla	1	2	Day	Main Duck	2	Elon Duck! Sir! It is a pleasure to finally meet... you... Where is the iconic monocle?	TRUE	Left	Normal	FALSE	0	FALSE
Welcome to Nestla	1	2	Day	Eggwin	3	"Haha, I'm sorry to say the boss isn't in the office today. My name Is Eggwin. I'll be helping you on your first day here."	TRUE	Right	Normal	FALSE	0	FALSE
Welcome to Nestla	1	2	Day	Eggwin	3	"I'm assuming you're the new employee then. Main Duck, right?"	TRUE	Right	Normal	FALSE	0	FALSE
Welcome to Nestla	1	2	Day	Main Duck	2	Quack! That's me!	TRUE	Left	Normal	FALSE	0	FALSE
Welcome to Nestla	1	2	Day	Eggwin	3	"Perfect, I already have your first assignment."	TRUE	Right	Normal	FALSE	0	FALSE
Welcome to Nestla	1	2	Day	Main Duck	2	An assignment already? Will I be working on the flying cars I've been hearing so much on the webbed?	TRUE	Left	Normal	FALSE	0	FALSE
Welcome to Nestla	1	2	Day	Eggwin	3	"Heh, you're getting your beak in the clouds before even flapping your wings yet. Though with a resume like yours, I'm sure you'll be working in the manufacturing room in no time!"	TRUE	Right	Normal	FALSE	0	FALSE
Welcome to Nestla	1	2	Day	Eggwin	3	"I was going to suggest your first assignment to be introducing yourself to everyone else in the office. You'll be working with many ducks here on a variety of projects, so I recommend getting to know them as soon as you can."	TRUE	Right	Normal	FALSE	0	FALSE
Welcome to Nestla	1	2	Day	Main Duck	2	That means... I can introduce myself to Duckette! She should be here. She updated her PeepedIn that she was also working here after graduation.	TRUE	Left	Italics	FALSE	0	FALSE
Welcome to Nestla	1	2	Day	Main Duck	2	"Yes, sir! I look forward to meeting everyone."	TRUE	Left	Normal	FALSE	0	FALSE
Welcome to Nestla	1	2	Day	Eggwin	3	"Good luck! Here is a list of ducks I would like you to meet. We have quite a few... interesting ducks here, if you catch my drift. So don't let them weird you out."	TRUE	Right	Normal	FALSE	0	FALSE
Welcome to Nestla	1	2	Day	Eggwin	3	I'll be here if you either have questions or have finished your first assignment.	TRUE	Right	Normal	FALSE	0	FALSE
Questions for Meet the Ducks	1	3	Day	Eggwin	3	Do you have a question?	TRUE	Right	Normal	TRUE	0	FALSE
Questions for Meet the Ducks_Option1	1	3	Day	None	0	Where can I find Duckette?	TRUE	Right	Normal	FALSE	1	FALSE
Questions for Meet the Ducks_Response1	1	3	Day	Eggwin	3	Duckette should be in the office room at her desk. She's almost always on the computer.	TRUE	Right	Normal	FALSE	1	FALSE
Questions for Meet the Ducks_Option2	1	3	Day	None	0	Where can I find Donald?	TRUE	Right	Normal	FALSE	2	FALSE
Questions for Meet the Ducks_Response2	1	3	Day	Eggwin	3	Donald? I wouldn't be surprised if he's slacking in the breakroom. Maybe try checking there?	TRUE	Right	Normal	FALSE	2	FALSE
Questions for Meet the Ducks_Option3	1	3	Day	None	0	Where can I find Quackson?	TRUE	Right	Normal	FALSE	3	FALSE
Questions for Meet the Ducks_Response3	1	3	Day	Eggwin	3	Quackson? I rarely see that duck. I wonder where he could be hiding.	TRUE	Right	Normal	FALSE	3	FALSE
Questions for Meet the Ducks_Option4	1	3	Day	None	0	I have no questions.	TRUE	Right	Normal	FALSE	4	FALSE
Questions for Meet the Ducks_Response4	1	3	Day	Eggwin	3	Ok! Be sure to report back once you talk to everyone!	TRUE	Right	Normal	FALSE	4	FALSE
Meet Duckette	1	3	Day	Main Duck	2	It's her! It's actually Duckette!	TRUE	Left	Italics	FALSE	0	FALSE
